artist,comments,country,dated,department,description,id,img_url,medium,onview,role,submit_time,title,web_url
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47004,"https://media.nga.gov/iiif/bf4c4ef2-dd02-4b7d-b8c2-33cdc2791145/full/!384,384/0/default.jpg",4-color woodcut on China paper,False,Print,2023-05-09 18:51:46,Untitled [plate XII],https://www.nga.gov/collection/art-object-page.47004.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47005,"https://media.nga.gov/iiif/78c278b5-1dd5-4aee-926b-bccf46ee7e7f/full/!384,384/0/default.jpg","woodcut in black, red, and blue on China paper",False,Print,2023-05-09 18:51:46,Untitled [plate XIII],https://www.nga.gov/collection/art-object-page.47005.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47006,"https://media.nga.gov/iiif/f153d424-2db2-4a98-b8cd-0af00b1fdde7/full/!384,384/0/default.jpg",4-color woodcut on China paper,False,Print,2023-05-09 18:51:46,Untitled [plate XIV],https://www.nga.gov/collection/art-object-page.47006.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47011,"https://media.nga.gov/iiif/d59cd523-1c41-449d-9e11-532c4d7ffd5d/full/!384,384/0/default.jpg",woodcut in green on China paper,False,Print,2023-05-09 18:51:46,Untitled [plate XIX],https://www.nga.gov/collection/art-object-page.47011.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47032,"https://media.nga.gov/iiif/2afe60aa-6755-4d28-b541-3b4e3476cbfb/full/!384,384/0/default.jpg",5-color woodcut on China paper,False,Print,2023-05-09 18:51:46,Untitled [plate XL],https://www.nga.gov/collection/art-object-page.47032.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47033,"https://media.nga.gov/iiif/1cdaa8ca-8597-4bf4-86b2-918b47242273/full/!384,384/0/default.jpg",7-color woodcut on China paper,False,Print,2023-05-09 18:51:46,Untitled [plate XLI],https://www.nga.gov/collection/art-object-page.47033.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47034,"https://media.nga.gov/iiif/6aca6755-b35a-4219-ab41-b3dd044c6573/full/!384,384/0/default.jpg",woodcut in blue on China paper,False,Print,2023-05-09 18:51:46,Untitled [plate XLII],https://www.nga.gov/collection/art-object-page.47034.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47035,"https://media.nga.gov/iiif/9392e6f5-ad40-4a53-b464-305887ee98a8/full/!384,384/0/default.jpg",5-color woodcut on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XLIII],https://www.nga.gov/collection/art-object-page.47035.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47036,"https://media.nga.gov/iiif/f46faacc-0293-4409-b49f-75e22098eb8c/full/!384,384/0/default.jpg",5-color woodcut on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XLIV],https://www.nga.gov/collection/art-object-page.47036.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47041,"https://media.nga.gov/iiif/1c7a02d6-e73a-42cc-b0a4-82405db22390/full/!384,384/0/default.jpg",woodcut in yellow on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XLIX],https://www.nga.gov/collection/art-object-page.47041.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47037,"https://media.nga.gov/iiif/a97022d1-3241-49e4-84e5-c1e99919b27f/full/!384,384/0/default.jpg",5-color woodcut and collage on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XLV],https://www.nga.gov/collection/art-object-page.47037.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47038,"https://media.nga.gov/iiif/d9a70715-df23-4022-a1b7-50e787d9479b/full/!384,384/0/default.jpg",5-color woodcut and collage on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XLVI],https://www.nga.gov/collection/art-object-page.47038.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47039,"https://media.nga.gov/iiif/c968eb28-acd1-46fc-b5a8-54585fda2d78/full/!384,384/0/default.jpg",4-color woodcut on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XLVII],https://www.nga.gov/collection/art-object-page.47039.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47040,"https://media.nga.gov/iiif/e314e57f-c6b2-4879-9418-c983ff80da23/full/!384,384/0/default.jpg",6-color woodcut and collage on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XLVIII],https://www.nga.gov/collection/art-object-page.47040.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47007,"https://media.nga.gov/iiif/c0d69b2e-8593-4e5e-b476-3175a41c93a3/full/!384,384/0/default.jpg",4-color woodcut on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XV],https://www.nga.gov/collection/art-object-page.47007.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47008,"https://media.nga.gov/iiif/d70d8eac-4197-4e19-9c8b-a89bd04604e6/full/!384,384/0/default.jpg",7-color woodcut on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XVI],https://www.nga.gov/collection/art-object-page.47008.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47009,"https://media.nga.gov/iiif/b3f573a2-5e53-4e1c-bd74-52ad269e0b7a/full/!384,384/0/default.jpg",woodcut in black on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XVII],https://www.nga.gov/collection/art-object-page.47009.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47010,"https://media.nga.gov/iiif/82cd77cf-3f06-4d59-a953-101dd986b223/full/!384,384/0/default.jpg",5-color woodcut on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XVIII],https://www.nga.gov/collection/art-object-page.47010.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47012,"https://media.nga.gov/iiif/7d492054-9ca2-467d-aed9-c3169659a6a5/full/!384,384/0/default.jpg",5-color woodcut on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XX],https://www.nga.gov/collection/art-object-page.47012.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47013,"https://media.nga.gov/iiif/ae2d92be-ac28-4449-953c-3300833aff6f/full/!384,384/0/default.jpg",4-color woodcut on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XXI],https://www.nga.gov/collection/art-object-page.47013.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47014,"https://media.nga.gov/iiif/21fb14fb-3d03-43ec-bda9-75c71704f511/full/!384,384/0/default.jpg",5-color woodcut on China paper,False,Print,2023-05-09 18:51:47,Untitled [plate XXII],https://www.nga.gov/collection/art-object-page.47014.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47015,"https://media.nga.gov/iiif/688579f6-a71e-4487-ae4e-51dea14ee037/full/!384,384/0/default.jpg",6-color woodcut on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXIII],https://www.nga.gov/collection/art-object-page.47015.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47016,"https://media.nga.gov/iiif/a83f9164-04e8-44b5-8bad-4af88e0bd4df/full/!384,384/0/default.jpg",8-color woodcut on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXIV],https://www.nga.gov/collection/art-object-page.47016.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47021,"https://media.nga.gov/iiif/0d667f98-1bed-4529-8e03-66d6ccb96734/full/!384,384/0/default.jpg",7-color woodcut on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXIX],https://www.nga.gov/collection/art-object-page.47021.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47017,"https://media.nga.gov/iiif/b15f4ffc-b77e-42fa-942d-d676bd6f756f/full/!384,384/0/default.jpg",woodcut in blue on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXV],https://www.nga.gov/collection/art-object-page.47017.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47018,"https://media.nga.gov/iiif/02dbf177-492c-43cf-bf1a-0c0e8127dfec/full/!384,384/0/default.jpg",4-color woodcut on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXVI],https://www.nga.gov/collection/art-object-page.47018.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47019,"https://media.nga.gov/iiif/b6bd23fe-d31a-448d-ae21-c9f6c55e2a87/full/!384,384/0/default.jpg",6-color woodcut on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXVII],https://www.nga.gov/collection/art-object-page.47019.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47020,"https://media.nga.gov/iiif/534f78ce-bf3c-457a-ab8c-b4d6a279ac57/full/!384,384/0/default.jpg","woodcut in black, red, and gray on China paper",False,Print,2023-05-09 18:51:48,Untitled [plate XXVIII],https://www.nga.gov/collection/art-object-page.47020.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47022,"https://media.nga.gov/iiif/898823d4-e2f7-4309-ad26-ac67e1697376/full/!384,384/0/default.jpg",5-color woodcut on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXX],https://www.nga.gov/collection/art-object-page.47022.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47023,"https://media.nga.gov/iiif/8c36c46f-08af-4fad-a653-9e5801c06223/full/!384,384/0/default.jpg",6-color woodcut on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXXI],https://www.nga.gov/collection/art-object-page.47023.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47024,"https://media.nga.gov/iiif/88ffcfac-3e38-450d-b685-3cca3f61dc05/full/!384,384/0/default.jpg",7-color woodcut on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXXII],https://www.nga.gov/collection/art-object-page.47024.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47025,"https://media.nga.gov/iiif/6ced7962-a733-4ada-93dc-65cd6a75ae35/full/!384,384/0/default.jpg",5-color woodcut on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXXIII],https://www.nga.gov/collection/art-object-page.47025.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47026,"https://media.nga.gov/iiif/d1281a54-454c-44c3-9b07-c0beb949aaab/full/!384,384/0/default.jpg","woodcut in red, black, and blue-green on China paper",False,Print,2023-05-09 18:51:48,Untitled [plate XXXIV],https://www.nga.gov/collection/art-object-page.47026.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47031,"https://media.nga.gov/iiif/3e196ad1-55c2-4a97-9522-0c084b99287d/full/!384,384/0/default.jpg",5-color woodcut on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXXIX],https://www.nga.gov/collection/art-object-page.47031.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47027,"https://media.nga.gov/iiif/82837936-fce1-4cc2-9d52-ed966f8a315f/full/!384,384/0/default.jpg",woodcut and collage in blue and black on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXXV],https://www.nga.gov/collection/art-object-page.47027.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47028,"https://media.nga.gov/iiif/46270e4b-8312-45b5-94f4-98a2adce1b4b/full/!384,384/0/default.jpg",5-color woodcut and collage on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXXVI],https://www.nga.gov/collection/art-object-page.47028.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47029,"https://media.nga.gov/iiif/b2752dd1-5b81-4698-9a4d-93031b6d654b/full/!384,384/0/default.jpg",woodcut and collage in blue and black on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXXVII],https://www.nga.gov/collection/art-object-page.47029.html
"Mir&oacute;, Joan;",,china,1958,National Gallery of Art,Rosenwald Collection,47030,"https://media.nga.gov/iiif/ed45a1f2-a207-4b7f-a5ae-0176fb46d631/full/!384,384/0/default.jpg",woodcut and collage in red and black on China paper,False,Print,2023-05-09 18:51:48,Untitled [plate XXXVIII],https://www.nga.gov/collection/art-object-page.47030.html
"M&eacute;ndez, Leopoldo;",,china,1943,National Gallery of Art,Rosenwald Collection,30708,"https://media.nga.gov/iiif/f46a315a-f50a-4f13-a57b-9b462bd9bc78/full/!384,384/0/default.jpg",woodcut on China paper,False,Print,2023-05-09 18:51:48,The Vulture's Nest,https://www.nga.gov/collection/art-object-page.30708.html
"M&eacute;ndez, Leopoldo;",,china,1943,National Gallery of Art,Rosenwald Collection,30704,"https://media.nga.gov/iiif/c37295fe-9f33-49b3-8fed-963baaa7cd3c/full/!384,384/0/default.jpg",woodcut on China paper,False,Print,2023-05-09 18:51:48,The Weavers,https://www.nga.gov/collection/art-object-page.30704.html
"Bozzetti, Cino;",,china,1930,National Gallery of Art,Ailsa Mellon Bruce Fund,221058,"https://media.nga.gov/iiif/1b66788b-89d4-4268-be3c-f97491a622e9/full/!384,384/0/default.jpg",etching on China paper (?),False,Print,2023-05-09 18:51:48,Winter Landscape (Il bosco d'inverno),https://www.nga.gov/collection/art-object-page.221058.html
"Toulouse-Lautrec, Henri de;",,china,1893,National Gallery of Art,Rosenwald Collection,42207,"https://media.nga.gov/iiif/20196318-d2d6-4aff-92bf-9808b80418fd/full/!384,384/0/default.jpg",lithograph in black on China paper,False,Print,2023-05-09 18:51:48,Wisdom (Sagesse),https://www.nga.gov/collection/art-object-page.42207.html
"Roussel, Ker Xavier;Clot, Auguste;",,china,1899,National Gallery of Art,Rosenwald Collection,39160,"https://media.nga.gov/iiif/0925ddd1-f707-4b75-bbb7-82bb04d44453/full/!384,384/0/default.jpg",5-color lithograph on China paper,False,Print,2023-05-09 18:51:48,Woman in a Striped Dress in a Landscape (Femme en robe à rayures),https://www.nga.gov/collection/art-object-page.39160.html
"Roussel, Ker Xavier;Clot, Auguste;",,china,1899,National Gallery of Art,Rosenwald Collection,39159,"https://media.nga.gov/iiif/8ed1bb4c-b4d1-4b2c-8d93-0c8b3c81b90d/full/!384,384/0/default.jpg",5-color lithograph on China paper,False,Print,2023-05-09 18:51:48,Woman in Red in a Landscape (Femme en rouge dans un paysage),https://www.nga.gov/collection/art-object-page.39159.html
"Matisse, Henri;",,china,1923,National Gallery of Art,Gift of John and Evelyn Nef,69593,"https://media.nga.gov/iiif/5fe2b2e2-b495-4ca4-9a36-fc0e33fa44f3/full/!384,384/0/default.jpg",lithograph on china paper,False,Print,2023-05-09 18:51:48,Young Girl in Flowered Dress with Organdy Collar (Jeune fille en robe fleurie au col d'organdi),https://www.nga.gov/collection/art-object-page.69593.html
"Toulouse-Lautrec, Henri de;",,china,1893,National Gallery of Art,Rosenwald Collection,40232,"https://media.nga.gov/iiif/46ccd31b-2697-4247-9a0f-97cdda0a3861/full/!384,384/0/default.jpg",lithograph in olive green on China paper,False,Print,2023-05-09 18:51:48,Your Mouth (Ta bouche),https://www.nga.gov/collection/art-object-page.40232.html
"Toulouse-Lautrec, Henri de;",,china,1893,National Gallery of Art,Rosenwald Collection,42061,"https://media.nga.gov/iiif/90bffb56-2fb4-4722-925d-06ec8fe05d28/full/!384,384/0/default.jpg",lithograph in olive green on China paper,False,Print,2023-05-09 18:51:48,Your Mouth (Ta bouche),https://www.nga.gov/collection/art-object-page.42061.html
"Lumsden, Ernest Stephen;",,china,1911,National Gallery of Art,"Corcoran Collection (Museum Purchase, Mary E. Maxwell Fund)",182930,"https://media.nga.gov/iiif/730c6757-466c-441f-9759-d273faa5d005/full/!384,384/0/default.jpg",etching in black on laid paper,False,Print,2023-05-09 18:51:48,"Yung-Tingmen, Peking",https://www.nga.gov/collection/art-object-page.182930.html
"M&eacute;ndez, Leopoldo;",,china,published 1943,National Gallery of Art,Rosenwald Collection,30691,"https://media.nga.gov/iiif/755d3b0c-5677-4096-ad39-7e3a9b6a169f/full/!384,384/0/default.jpg",portfolio with twenty-five woodcuts on China paper plus introduction and text,False,Portfolio,2023-05-09 18:51:48,25 Prints of Leopoldo Mendez,https://www.nga.gov/collection/art-object-page.30691.html
"Grasset, Eug&egrave;ne;Gillot, Charles;Marcilly, Charles;",,china,1883,National Gallery of Art,Purchased for the Ira and Virginia Jackson Collection,206258,"https://media.nga.gov/iiif/8f89438b-ea0c-4415-9399-84a9cce9436b/full/!384,384/0/default.jpg","bound volume with [6], 224, [11] pages of color Gillotage illustrations and borders on china paper",False,Volume,2023-05-09 18:51:48,Histoire des Quatre Fils Aymon,https://www.nga.gov/collection/art-object-page.206258.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163371,"https://media.nga.gov/iiif/d366c95a-3ab6-4bdf-910e-da7303239b34/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:48,"Angle of North Taku Fort at Which the French Entered, August 21, 1860",https://www.nga.gov/collection/art-object-page.163371.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163393,"https://media.nga.gov/iiif/586ffc63-1729-4254-b696-ea602fa9e2f3/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:48,"Arch in the Lama Temple Near Pekin, October 1860",https://www.nga.gov/collection/art-object-page.163393.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163392,"https://media.nga.gov/iiif/696f8eb6-3860-4f88-a62b-d03647e3bee7/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:48,"Architectural View of the Lama Temple Near Pekin, October 1860",https://www.nga.gov/collection/art-object-page.163392.html
Niu Weiyu;,,china,"1973, printed 2021",National Gallery of Art,Gift of The Gao Fan and Niu Weiyu Foundation,223389,"https://media.nga.gov/iiif/ad315eec-9549-4236-9cce-69020b77dc33/full/!384,384/0/default.jpg",inkjet print,False,Photograph,2023-05-09 18:51:48,"A Boy Playing the Violin in Gulangyu Island, Xiamen Province",https://www.nga.gov/collection/art-object-page.223389.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163391,"https://media.nga.gov/iiif/648e7b64-7454-48e6-8c14-46c16541f2b4/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:48,"Bridge of Palichian Near Pekin, the Scene of the Fight with Imperial Chinese Troops, September 21, 1860",https://www.nga.gov/collection/art-object-page.163391.html
"Silk, George;Associated Press;",,china,May 1946,National Gallery of Art,Gift of Mary and Dan Solomon,218285,"https://media.nga.gov/iiif/e09c8e60-fadc-4507-9857-805eca22c8c5/full/!384,384/0/default.jpg",gelatin silver print with applied color,False,Photograph,2023-05-09 18:51:48,Chinese Child Holding an Empty Rice Bowl...,https://www.nga.gov/collection/art-object-page.218285.html
Niu Weiyu;,,china,"1962, printed 2021",National Gallery of Art,Gift of The Gao Fan and Niu Weiyu Foundation,223387,"https://media.nga.gov/iiif/318520a4-4818-4a17-824e-2137103d3f33/full/!384,384/0/default.jpg",gelatin silver print,False,Photograph,2023-05-09 18:51:48,Dancer Zhao Qing Practicing,https://www.nga.gov/collection/art-object-page.223387.html
"Rollins, Byron H.;",,china,"November 3, 1948",National Gallery of Art,Gift of Mary and Dan Solomon,218528,"https://media.nga.gov/iiif/03886004-fa72-4cce-aaa4-6acc1f30279e/full/!384,384/0/default.jpg",gelatin silver print with applied color,False,Photograph,2023-05-09 18:51:48,Dewey Defeats Truman,https://www.nga.gov/collection/art-object-page.218528.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163396,"https://media.nga.gov/iiif/9625d692-8fa3-48d5-b529-d72fda13a1e0/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:48,"Entrance to the Five Genii Temple, Canton, April 1860",https://www.nga.gov/collection/art-object-page.163396.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163395,"https://media.nga.gov/iiif/362e143a-19ad-4c74-ac80-fc8d27cc1de0/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:48,"Entrance to the Treasury, Canton, April 10, 1860",https://www.nga.gov/collection/art-object-page.163395.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163375,"https://media.nga.gov/iiif/a4631c44-3de8-4781-9fd1-a6b50cdeba8f/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"Entrance to the Winter Palace, Pekin, October 29, 1860",https://www.nga.gov/collection/art-object-page.163375.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163370,"https://media.nga.gov/iiif/963fbe3d-9506-4fd5-b1a0-e8738a2cd1d7/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"Exterior of North Fort Showing the English Entrance, August 21, 1860",https://www.nga.gov/collection/art-object-page.163370.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163369,"https://media.nga.gov/iiif/c44d7c42-0300-45c5-9164-4ba443e9d6e2/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"Exterior of North Taku Fort on Peiho River, Showing the English and French Entrance, August 21, 1860",https://www.nga.gov/collection/art-object-page.163369.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163389,"https://media.nga.gov/iiif/25eeaf63-2d11-43fa-9e1b-b99957aa60e1/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"Exterior of the Tomb Depot Near Pekin, October 1860",https://www.nga.gov/collection/art-object-page.163389.html
Niu Weiyu;,,china,"1955, printed 2021",National Gallery of Art,Gift of The Gao Fan and Niu Weiyu Foundation,223001,"https://media.nga.gov/iiif/a69cf1dc-0dc2-4198-ad56-5042370a30a1/full/!384,384/0/default.jpg",gelatin silver print,False,Photograph,2023-05-09 18:51:49,"The Film-Projection Team in the Countryside Playing Films for Members of Wu Yushu Agricultural Producers Cooperative, Laiguangying, Dongjiao",https://www.nga.gov/collection/art-object-page.223001.html
Niu Weiyu;,,china,"1949, printed 2021",National Gallery of Art,Gift of The Gao Fan and Niu Weiyu Foundation,222999,"https://media.nga.gov/iiif/11e0f71e-771c-4f9d-a663-46b62b913064/full/!384,384/0/default.jpg",gelatin silver print,False,Photograph,2023-05-09 18:51:49,"The First Early Spring after the Liberation, a Celebration of International Women’s Day in Front of the Taihe Temple of the Forbidden City",https://www.nga.gov/collection/art-object-page.222999.html
"Ginsberg, Allen;",,china,"1984, printed 1987",National Gallery of Art,Gift of Gary Davis,160746,"https://media.nga.gov/iiif/7d370bd8-b34e-42ce-bd3a-4a0cf7093522/full/!384,384/0/default.jpg",gelatin silver print,False,Photograph,2023-05-09 18:51:49,"Foreign Language Department building, Baoding University, two hours train south of Beijing, November 1984, students at the door—down the avenue past an athletic field is entrance-gate to campus. I taught Whitman, W.C. Williams, Kerouac, Burroughs and Gregory Corso’s writing to eager provincial students for three weeks, and sang lyrics by William Blake.",https://www.nga.gov/collection/art-object-page.160746.html
Niu Weiyu;,,china,"1963, printed 2021",National Gallery of Art,Gift of The Gao Fan and Niu Weiyu Foundation,223386,"https://media.nga.gov/iiif/7dbc9748-364d-4354-a3d6-dae555a9dfd4/full/!384,384/0/default.jpg",gelatin silver print,False,Photograph,2023-05-09 18:51:49,"Granary Floor in Tawa Village of Aba County, Sichuan Province",https://www.nga.gov/collection/art-object-page.223386.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163386,"https://media.nga.gov/iiif/826b14ec-db1b-4fbc-9a1f-a7c3a9ea8ea3/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"The Great Imperial Palace Yuen Min Yuen, Pekin, Before the Burning, October 18, 1860",https://www.nga.gov/collection/art-object-page.163386.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163387,"https://media.nga.gov/iiif/eb486f51-7a44-4057-9e3f-bec9ca71fd96/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"The Great Imperial Porcelain Palace Yuen Min Yuen, Pekin, October 18, 1860",https://www.nga.gov/collection/art-object-page.163387.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163377,"https://media.nga.gov/iiif/3b156723-33aa-44f6-9767-789018168766/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"The Great Pagoda in the Imperial Winter Palace, Pekin, October 29, 1860",https://www.nga.gov/collection/art-object-page.163377.html
Niu Weiyu;,,china,"1956, printed 2021",National Gallery of Art,Gift of The Gao Fan and Niu Weiyu Foundation,217861,"https://media.nga.gov/iiif/1d34652b-8757-417f-8493-af0158ab994f/full/!384,384/0/default.jpg",gelatin silver print,False,Photograph,2023-05-09 18:51:49,The Handcrafts Group Organized by Families of Shanghai Business Owners Making Chinese Dolls,https://www.nga.gov/collection/art-object-page.217861.html
"Callahan, Harry;",,china,1985,National Gallery of Art,Gift of the Callahan Family,93093,"https://media.nga.gov/iiif/6b627968-0d05-4717-8d5f-5097ff24cd26/full/!384,384/0/default.jpg",dye imbibition print,False,Photograph,2023-05-09 18:51:49,Hong Kong,https://www.nga.gov/collection/art-object-page.93093.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163388,"https://media.nga.gov/iiif/de80664c-c0a0-4fce-8717-c8a065f693a2/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"Imperial Summer Palace Yuen Min Yuen, Pekin, Before the Burning, October 18, 1860",https://www.nga.gov/collection/art-object-page.163388.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163379,"https://media.nga.gov/iiif/87c53fd9-b5bb-4cc8-b998-11348d26dc60/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"Interior and Arches of the Temple of Heaven Where the Emperor Sacrifices Once a Year, in the Chinese City of Pekin, October 1860",https://www.nga.gov/collection/art-object-page.163379.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163366,"https://media.nga.gov/iiif/eb5a40e0-e0dd-4956-95e0-2b531797bd19/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"Interior of Pehtang Fort Showing Probyn's Horse, August 1, 1860",https://www.nga.gov/collection/art-object-page.163366.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163397,"https://media.nga.gov/iiif/6bacfb1b-4dd2-4ce7-b88d-bdd2cd96aa7e/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"Interior of Pehtang Fort Showing the Magazine and Wooden Gun, August 1, 1860",https://www.nga.gov/collection/art-object-page.163397.html
"Beato, Felice;",,china,1860,National Gallery of Art,Gift of Michael and Jane Wilson,163364,"https://media.nga.gov/iiif/6dd9d13b-9cda-4269-9601-fe410e8dfc63/full/!384,384/0/default.jpg",albumen print,False,Photograph,2023-05-09 18:51:49,"Interior of South Taku Fort Showing the Place of Landing, June 25, 1859",https://www.nga.gov/collection/art-object-page.163364.html
